institution,timestamp,ai_addressed,restrictive_idx,procedural_idx,net_restrictiveness,text_excerpt
University of California-Los Angeles,20220228073130,0,0,0,0,"Skip to Main Content For coronavirus information for the UCLA community, please visit the Ashe Center website and UCLA’s information page. Contact Us REPORT AN INCIDENT OF BIAS STUDENT CONDUCT CODE Search WebsiteSearch Search WebsiteSearch Students Academic Integrity Student Conduct Honor Societies Award Programs Dean's Certification Alcohol Policies Online Education Workshops Official Notices Graduation Funding Helpful Links Parents Faculty Staff Help for Students in Crisis Get Your Red Folder Here Hazing Contact Us REPORT AN INCIDENT OF BIAS STUDENT CONDUCT CODE Academic Integrity With its status as a world-class research institution, it is critical that the University uphold the highest standards of integrity both inside and outside the classroom. As a student and member of the UCLA community, you are expected to demonstrate integrity in all of your academic endeavors. Accordingly, when accusations of academic dishonesty occur, The Office of Student Conduct is charged with reviewing and adjudicating suspected violations. Academic dishonesty, includes, but is not limited to, cheating, fabrication, plagiarism, multiple submissions or facilitating academic misconduct. Related Docum"
Columbia University,20230108075837,0,0,0,0,"Skip to main content Columbia University in the City of New York Toggle search Columbia University Student Conduct | Center for Student Success and Intervention Toggle search Submit keywords Search the site Main navigation expanded Home Policies Resolution Options Resources Report Submit & Request Academic Misconduct Discrimination/Harassment Gender-Based Misconduct General Concern Other University Policies Violation Rules of University Conduct Violation Undergraduate Student Life Staff Login Need More Information? Appeal Dean's Discipline Appeal GBM Disciplinary Record/Background Check FERPA Release Request File Review Appointment GBM File Review Appointment Sanction Completion Training or Presentation Turnitin Access Student Conduct Written Statement GBMO Submissions Need More Information? Student Conduct | Center for Student Success and Intervention You are here: Home Resolution Options Dean's Discipline Dean's Discipline Standards and Discipline As members of the Columbia University community, all students are expected to uphold the highest standards of respect, integrity, and civility. Students who violate standards of behavior related to academic or behavioral conduct interfe"
University of Southern California,20241123083629,0,0,0,0,"Skip to main content Go to usc.edu homepage Office of the Provost An icon that consists of three parallel horizontal lines suggestive of a list. Announcements and News About The USC Faculty Policies and Statements Campus Resources Digital Accessibility More…Show More Menu An icon of a magnifying glass. Search for: An icon of a letter X. Reappointment of Avishai Sadan as Dean of the Herman Ostrow School of Dentistry of USC Published May 31, 2018 Message to Herman Ostrow School of Dentistry of USC Faculty and Staff, USC Division of Biokinesiology and Physical Therapy, USC Mrs. T.H. Chan Division of Occupational Sciences and Occupational Therapy From: Michael W. Quick, Provost and Senior Vice President for Academic Affairs May 31, 2018 I am pleased to inform you that President Nikias has offered Dean Avishai Sadan another five-year term as dean of the Herman Ostrow School of Dentistry of USC, and that Dean Sadan has accepted this offer. This decision followed a comprehensive review of Dean Sadan’s leadership of the Ostrow School of Dentistry during which many faculty and staff sent detailed letters providing thoughtful input. Throughout the review process, Dean Sadan was commended for"
Rice University,20220219002857,0,0,0,0,"Search for: Honor Code General Welcome Why Honor? The Council Ombuds Honor System Handbook Consensus Penalty Structure Frequently Asked Questions Reporting a Violation Contact Us Academic Resources Avoiding a Violation Honor Code Orientation Graduate Honor Council Online Courses The procedures outlined on this website are intended to aid the Honor Council in its efforts to ascertain the facts of a matter and to reach a just decision. They do not confer any contractual rights on the accused. Circumstances can differ greatly between cases, and the Chair of the Council or Student Judicial Programs may need to modify the procedures in a particular case in order to reach a timely and just decision. Supplementary Material Faculty Handbook TA Handbook Case Abstracts Search Search for: Honor System Handbook The procedures outlined on this website are intended to aid the Honor Council in its efforts to ascertain the facts of a matter and to reach a just decision. They do not confer any contractual rights on the accused. Circumstances can differ greatly between cases, and the Chair of the Council or Student Judicial Programs may need to modify the procedures in a particular case in order to "
Cornell University,20241020001915,1,1,0,1,Skip to main content Search: Submit Search Search Filters Search This Site Search Cornell Center for Teaching Innovation Main Menu Search About Us Contact us Home Home CTI Blog Teaching Resources Resources for New Faculty Preparing to Teach Building Inclusive Classrooms Active & Collaborative Learning Engaging Students Assessing Student Learning Generative AI and Teaching Online Teaching Learning Technologies Learning Technologies Resource Library Assessment Tools Canvas Collaboration Tools Creative Technology Lab Generative AI Video & Multimedia Privacy Programs Faculty & Instructors Graduate Students & Postdoctoral Fellows Grants & Awards Faculty & Instructors Graduate Students & Postdoctoral Fellows Teaching Spotlight Teaching Innovation Case Studies Teaching Spotlight Videos News & Events Workshops & Institutes Event Calendar Newsletters CTI In the News Home CTI Blog Teaching Resources Resources for New Faculty Preparing to Teach Building Inclusive Classrooms Active & Collaborative Learning Engaging Students Assessing Student Learning Generative AI and Teaching Online Teaching Learning Technologies Learning Technologies Resource Library Assessment Tools Canvas Collaboration Too
University of Notre Dame,20220308061749,0,0,0,0,"Skip To Content Skip To Navigation University of Notre Dame Office of the Provost Undergraduate Academic Code of Honor SearchSearch Introduction In 1989, Notre Dame undergraduates and faculty published an Academic Code of Honor Handbook to express their shared commitment to respect and honor the intellectual and creative contributions of each individual. This website introduces students and faculty to the principles, policies and procedures of the Academic Code of Honor while also listing the faculty and students who have primary responsibility for overseeing its implementation. Undergraduate Academic Code of Honor *Note: The following statement is the University of Notre Dame’s Undergraduate Academic Code of Honor. Below it, you will also find a Procedural Appendix, which identifies the mechanisms and personnel responsible for implementing, supporting, and ensuring adherence to the Honor Code. As members of an academic and spiritual community, students, faculty, and staff at the University of Notre Dame are engaged in a collaborative educational endeavor. Together, we work to create, “an environment of teaching and learning that fosters the development in its students of those dis"
Stanford University,20250119223359,1,0,0,0,"Skip to main content Skip to secondary navigation Stanford University (link is external) Events Teaching Commons Mixer – January 2025 Get Involved in Teaching Commons. Catch Up with the Teaching Commons Team. Returning Teaching Commons team members and those interested in getting involved will gather to learn more, hatch plans and ideas, and enjoy each other's company. In person and online options are available. Thursday, January 16, 12 noon–1:30 p.m.Learn More and RSVP for the Teaching Commons Winter Mixer Stanford Teaching Commons Search this site Submit Search Menu Articles Supporting Students Inclusive Support Accessibility Support Resources for Students Professional Development Workshops & Programs Request a workshop Do-it-yourself Workshop Kits Defining AI for Educators Workshop Kit Exploring Pedagogic Uses of AI Workshop Kit Analyzing the Implications of AI Workshop Kit Creating an AI Course Policy Workshop Kit Integrating AI into Assignments Workshop Kit Join A Community Get Feedback On Teaching Technology Tech-enhanced Teaching Tech Support Educational Technology Tools Policy & Guidance Teaching Guides Foundations of Course Design Theory to Practice TEACH Framework Teacher"
University of California-San Diego,20251117200433,1,1,1,0,Skip to main content Academic Integrity AI UC San Diego Search This Site All UCSD Sites Faculty/Staff Search Term Close Nav About Reports and Statistics Career Staff Choose Integrity Integrity Tutorial Artificial Intelligence in Education After Education Cheating Defined Learn More Take Action Is It Cheating to Use ChatGPT? Top 10 Tips for Instructors Top 10 Tips for Students Report Cheating Promote Integrity Prevent Cheating Get Involved Process UC San Diego Academic Integrity Policy When Cheating is Suspected Student's Rights Get Help Consequences of Cheating Academic Integrity Reviews Appeals Post-Resolution FAQ Events Podcasts Show Your Courage Resource Calendar GenAI & AI Virtual Symposium Contests UC San Diego Integrity Awards International Day of Action FAQ Contact Forms Integrity Agreement_CSE Integrity Agreement_FMPH Integrity Agreement_Physics Take the Pledge Presentation Request Form Toggle navigation MENU About Reports and Statistics Career Staff Choose Integrity Integrity Tutorial Artificial Intelligence in Education After Education Cheating Defined Learn More Take Action Is It Cheating to Use ChatGPT? Top 10 Tips for Instructors Top 10 Tips for Students Report Cheatin
Cornell University,20251224111158,1,0,1,-1,Skip to main content Search: Submit Search Search Filters Search This Site Search Cornell Center for Teaching Innovation Main Menu Search About Us Contact us Home Home Blog Teaching Resources Preparing for a New Semester Resources for New Faculty Preparing to Teach Inclusion & Accessibility Managing Unexpected Moments Active & Collaborative Learning Engaging Students Assessing Student Learning Generative AI & Teaching Online & Hybrid Teaching Learning Technologies Learning Technologies Resource Library Assessment Tools Canvas Collaboration Tools Creative Technology Lab Generative AI Video & Multimedia Privacy Programs Faculty & Instructors Graduate Students & Postdoctoral Fellows Grants & Awards Faculty & Instructors Graduate Students & Postdoctoral Fellows Teaching Spotlight Teaching Spotlight Videos Teaching Innovation Case Study Library Canvas Course Spotlight Provost's Working Group on Innovation in Assessment News & Events Events & Workshops Event Calendar CTI In the News Generative Artificial Intelligence Home Blog Teaching Resources Preparing for a New Semester Resources for New Faculty Preparing to Teach Inclusion & Accessibility Managing Unexpected Moments Active & Collabo
George Mason University,20241012131257,1,2,0,2,"Skip to content Search MasonGeorge Mason University Apply Give MyMason PatriotWeb Peoplefinder Athletics News CALENDAR Library Graduation Academics Undergraduate Education Undergraduate Council Mason Core Mason Impact Micro and Mini Grants Research, Scholarly, and Creative Activities Community Engagement and Civic Learning Career, Industry, and Entrepreneurship Mason Impact for Faculty Mason Impact for Students Federal Work-Study Assistants Summer Team Impact Projects Curriculum Impact Grants Graduate Education Global Engagement Academic Program Development Accreditation Professional Licensure and Certification Quality Enhancement Plan Instructor Qualifications and Credentialing Requirements State Authorization Electronic Memorandum of Understanding Faculty Faculty Appointments Submitting Faculty Transcripts Adjunct Faculty Information Term Faculty Information Term Faculty FAQs Tenure-line Faculty Renewal, Promotion, and Tenure External Reviews COVID-19 Impacts on RPT RPT FAQs Department Chair Resources Budget Activities Critical Dates Faculty Evaluation Faculty Evaluation and COVID-19 Faculty Hiring and Recruitment Faculty Orientation Managing Enrollment Support for Leadership Sup"
